number|description
10.086|Aquaculture Grants Program (AGP)
10.219|Biotechnology Risk Assessment Research
10.315|Trade Adjustment Assistance for Farmers Training Coordination Program (TAAF)
10.406|Farm Operating Loans
10.557|Special Supplemental Nutrition Program for Women+, Infants+, and Children
10.567|Food Distribution Program on Indian Reservations
10.568|Emergency Food Assistance Program (Administrative Costs)
10.578|WIC Grants To States (WGS)
10.579|Child Nutrition Discretionary Grants Limited Availability
10.609|Trade Adjustment Assistance
10.687|RECOVERY ACT OF 2009: CAPITAL IMPROVEMENT AND MAINTENANCE
10.688|RECOVERY ACT OF 2009: WILDLAND FIRE MANAGEMENT
10.780|Community Facilities Loans and Grants
10.781|Water and Waste Disposal Systems for Rural Communities - ARRA
10.782|Business and Industry Loans
10.783|Rural Business Enterprise Grants
10.786|Distance Learning and Telemedicine Loans and Grants - ARRA
10.787|Broadband Initiatives Program
10.788|Very Low to Moderate Income Housing Loans
10.789|Very Low to Moderate Income Housing Loans
10.868|Rural Energy for America Program - ARRA
10.904|Watershed Protection and Flood Prevention
10.916|Watershed Rehabilitation Program
10.922|Healthy Forests Reserve Program (HFRP)
10.923|Emergency Watershed Protection Program
11.009|TV Converter Box Coupon Program Consumer Education and Technical Assistance
11.300|Investments for Public Works and Economic Development Facilities
11.307|Economic Adjustment Assistance
11.463|Habitat Conservation
11.553|Special Projects
11.557|Broadband Technology Opportunities Program (BTOP)
11.558|State Broadband Data and Development Grant Program
11.609|Measurement and Engineering Research and Standards
11.618|National Institute of Standards and Technology Construction Grant Program
12.400|Military Construction, National Guard
12.401|National Guard Military Operations and Maintenance (O&M;) Projects
12.800|Air Force Defense Research Sciences Program
14.253|Community Development Block Grant ARRA Entitlement Grants (CDBG-R)(Recovery Act Funded)
14.254|Community Development Block Grants/Special Purpose Grants/Insular Areas (Recovery Act Funded)
14.255|"Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii (Recovery Act Funded)"
14.256|Neighborhood Stabilization Program (Recovery Act Funded)
14.257|Homelessness Prevention and Rapid Re-Housing Program (Recovery Act Funded)
14.258|Tax Credit Assistance Program (Recovery Act Funded)
14.317|Section 8 Housing Assistance Payments Program Special Allocations (Recovery Act Funded)
14.318|Assisted Housing Stability and Energy and Green Retrofit Investments Program (Recovery Act Funded)
14.882|Native American Housing Block Grants (Formula) Recovery Act Funded
14.883|Native Hawaiian Housing Block Grants (Recovery Act Funded)
14.884|Public Housing Capital Fund Competitive (Recovery Act Funded)
14.885|Public Housing Capital Fund Stimulus (Formula) Recovery Act Funded
14.886|Indian Community Development Block Grant Program  (Recovery Act Funded)
14.887|Native American Housing Block Grants (Competitive) Recovery Act Funded
14.907|Lead-Based Paint Hazard Control in Privately-Owned Housing (Recovery Act Funded)
14.908|Healthy Homes Demonstration Grants (Recovery Act Funded)
14.909|Lead Hazard Reduction Demonstration Grant Program (Recovery Act Funded)
14.910|Healthy Homes Technical Studies Grants (Recovery Act Funded)
15.033|Road Maintenance - Indian Roads
15.047|Indian Education Facilities, Operations, and Maintenance
15.048|Bureau of Indian Affairs Facilities - Operations and Maintenance
15.108|Indian Employment Assistance
15.141|Indian Housing Assistance
15.225|Recreation Resource Management
15.231|Fish, Wildlife and Plant Conservation Resource Management
15.233|Forests and Woodlands Resource Management
15.236|Environmental Quality and Protection Resource Management
15.504|Water Reclamation and Reuse Program
15.507|Water 2025
15.509|Colorado River Basin Salinity Control Program
15.510|Colorado Ute Indian Water Rights Settlement Act
15.512|Central Valley Project Improvement Act+, Title XXXIV
15.514|Reclamation States Emergency Drought Relief
15.516|Fort Peck Reservation Rural Water System
15.517|Fish and Wildlife Coordination Act
15.518|Garrison Diversion Unit
15.520|Lewis and Clark Rural Water System
15.521|Lower Rio Grande Valley Water Resources Conservation and Improvement
15.522|Mni Wiconi Rural Water Supply Project
15.523|Perkins County Rural Water System
15.524|Recreation Resources Management
15.525|"Rocky Boy's/North Central Montana Regional Water System"
15.528|St. Mary Storage Unit Facilities Rehabilitation Project
15.531|Yakima River Basin Water Enhancement Project (YRBWEP)
15.532|Central Valley Project+, Trinity River Division+, Trinity River Fish and Wildlife Management
15.534|Miscellaneous Public Law 93-638 Contracts+, Grants+, and Cooperative Agreements
15.535|Upper Colorado River Basin Fish and Wildlife Mitigation Program.
15.536|Deschutes River Conservancy (DRC)
15.537|Middle Rio Grande Endangered Species Collaborative Program
15.538|Lower Colorado River Multi-Species Conservation Program.
15.656|Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.
15.657|Endangered Species Conservation - Recovery Implementation Funds
15.807|Earthquake Hazards Reduction Program
15.817|National Geospatial Program: Building The National Map
15.818|Volcano Hazards Program Research and Monitoring.
15.931|Conservation Activities by Youth Service Organizations
15.932|Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).
15.934|Abandoned Mine Hazard Mitigation
15.935|National Trails System Projects
16.526|OVW Technical Assistance Initiative
16.556|State Domestic Violence and Sexual Assault Coalitions
